User Language,IPSP name,URL,Geographic region,Country,Publication languages,Parent organisation,Parent organisation name,Does the IPSP only provide services to its parent organisation?,IPSP/parent organisation legal entity,IPSP/parent organisation legal entity (free text),Type of IPSP,Services provided,Services provided (free text),Publish or provide service - Academic Journals,Publish or provide service - Academic Books,Publish or provide service - Conference outputs,Publish or provide service - Grey literature,"Publish or provide service - Other research products (e.g. media, digital)",Publish or provide service - Non-academic outputs,"Publish or provide service - Other (e.g. datasets, digital scholarship, software)",Disciplines
English,"University of Rijeka, Faculty of Law",https://www.pravri.uniri.hr,Southern Europe,Croatia,Croatian - English - German - Bosnian - Slovene/Slovenian,No,[No response],[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, IT, Communication",,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Social sciences
English,Mykolas Romeris University,https://www.mruni.eu/mokslas/akademine-leidyba/,Northern Europe,Lithuania,English - Lithuanian,No,[No response],[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Administrative, legal and financial",,Publish,Publish,Publish,[No response],[No response],[No response],[No response],"Social sciences,Humanities"
French,Inria,https://www.inria.fr,Western Europe,France,English - French,No,[No response],[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Production, IT, Communication, Training, support and/or advice",,Publish and Service,Publish and Service,Publish and Service,Publish and Service,Publish and Service,[No response],Publish and Service,"Engineering and technology,Medical and health sciences,Humanities"
German,Max Weber Stiftung,https://perspectivia.net,Western Europe,Germany,German - English - French - Italian - Russian,Withdrawn,[No response],[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Production, IT",,Publish and Service,Publish and Service,Publish and Service,[No response],Publish and Service,[No response],[No response],Humanities
French,Peer Community In,https://peercommunityin.org/,Western Europe,France,English,No,[No response],[No response],"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT",,Publish and Service,[No response],[No response],[No response],[No response],[No response],Publish,Multidisciplinary
English,National archaeological institute with museum - Bulgarian Academy of Sciences,https://naim.bg,Eastern Europe,Bulgaria,English - Bulgarian,No,[No response],[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT",,Publish and Service,Publish and Service,Publish and Service,[No response],[No response],[No response],[No response],"Social sciences,Humanities"
English,British Academy of Management,https://www.bam.ac.uk,Northern Europe,United Kingdom,[No response],Withdrawn,[No response],[No response],"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Communication",,Publish,Publish,Publish,[No response],Publish,[No response],[No response],Social sciences
Hungarian,Fakultet za odgojne i obrazovne znanosti Sveučilišta Jurja Dobrile u Puli,https://hrcak.srce.hr/metodicki-obzori,Southern Europe,Croatia,English - Croatian,Don't know,[No response],[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),Editorial,,Publish,[No response],[No response],[No response],[No response],[No response],[No response],Social sciences
English,Humboldt Institute for Internet and Society,https://policyreview.info,Western Europe,Germany,English - German,Withdrawn,[No response],[No response],"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice, Other",Open source solutions for scholarly publishing,Publish,Publish,Publish,Publish,Publish,Publish,Publish,"Multidisciplinary,Engineering and technology,Social sciences,Humanities,Non-academic"
English,"College of Sports and Health - Belgrade, Serbia",http://sportnaukaipraksa.vss.edu.rs/snp-en.asp,Southern Europe,Serbia,Serbian - English,No,[No response],[No response],Withdrawn,Private College,Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication",,Publish,Publish,Publish,[No response],[No response],[No response],[No response],Medical and health sciences
English,"Institute of Field and Vegetable Crops, Novi Sad, Serbia",https://ifvcns.rs/,Southern Europe,Serbia,[No response],No,[No response],[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, Training, support and/or advice",,Publish,Publish,Publish,Publish,Service,Service,Service,Agricultural sciences
English,University of Zadar,https://www.unizd.hr,Southern Europe,Croatia,Croatian - English - Italian - German - Spanish,Withdrawn,[No response],[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),Withdrawn,,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,"Multidisciplinary,Social sciences,Humanities"
Spanish,Patronat d'Estudis Osonencs,https://raco.cat/index.php/ausa/,Southern Europe,Spain,Catalan - French - English - Spanish,No,[No response],[No response],"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),[No response],,[No response],[No response],[No response],[No response],[No response],[No response],[No response],"Multidisciplinary,Natural sciences,Social sciences,Humanities"
French,UMR Géographie-cités,https://journals.openedition.org/cybergeo/,Western Europe,France,French - English - Spanish - Italian,No,[No response],[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),Withdrawn,,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Social sciences
English,Entrepreneurship and Sustainability Center,https://jssidoi.org/esc/home,Northern Europe,Lithuania,[No response],No,[No response],[No response],"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, Training, support and/or advice",,Publish,[No response],[No response],[No response],[No response],[No response],[No response],Social sciences
French,Université catholique de Louvain,https://ojs.uclouvain.be/index.php/quetelet/about/contact,Western Europe,Belgium,English - French,Don't know,[No response],[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication",,Publish and Service,[No response],[No response],[No response],[No response],[No response],[No response],Social sciences
Polish,Wydawnictwo Akademii Wychowania Fizycznego im. Polskich Olimpijczyków we Wrocławiu,https://joanna.malec@awf.wroc.pl,Eastern Europe,Poland,English,Withdrawn,[No response],[No response],Withdrawn,[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, Communication, Administrative, legal and financial",,Publish,Publish,Publish,[No response],[No response],[No response],[No response],Medical and health sciences
English,HELLENIC PSYCHOLOGICAL SOCIETY,https://ejournals.epublishing.ekt.gr/index.php/psychology/about,Southern Europe,Greece,Greek - English,Withdrawn,[No response],[No response],"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Withdrawn,"Editorial, Production",,Publish,[No response],[No response],[No response],[No response],[No response],[No response],Social sciences
Hungarian,Ministarstvo unutarnjih poslova,https://policijska-akademija.gov.hr/medjunarodna-suradnja-32/nakladnicka-djelatnost/casopis-policija-i-sigurnost/147,Southern Europe,Croatia,Croatian - English,Withdrawn,[No response],[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial",,Publish,Publish,Publish,[No response],Publish,[No response],[No response],Social sciences
Spanish,Universitat de Barcelona,https://revistes.ub.edu/,Southern Europe,Spain,Catalan - Spanish - English - Galician,No,[No response],[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Production, IT, Communication, Training, support and/or advice",,Publish and Service,Service,Service,[No response],Publish and Service,[No response],Publish and Service,Multidisciplinary
English,International Society for the Empirical Study of Literature,https://igelsociety.org,Western Europe,Netherlands,English,No,[No response],[No response],"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),Editorial,,Publish,[No response],[No response],[No response],[No response],[No response],[No response],"Multidisciplinary,Social sciences,Humanities"
German,Verlag Barbara Budrich GmbH,https://www.budrich.de,Western Europe,Germany,German - English,No,[No response],[No response],Company (owned by Directors; limited liability),[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish,[No response],[No response],[No response],[No response],[No response],[No response],Social sciences
French,Open Access Publication - Université de Genève,https://www.unige.choap/biblio/fr/openaccess/editer/open-access-publications/,Western Europe,Switzerland,English - French,Don't know,[No response],[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Withdrawn,Withdrawn,,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn
English,Philosophie.ch,https://philosophie.ch,Western Europe,Switzerland,English,No,[No response],[No response],"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish,Publish,[No response],[No response],Publish,Publish,Publish,Humanities
English,University of West Attica,https://library1.uniwa.gr/en/homepage/,Southern Europe,Greece,Greek - English,No,[No response],[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, IT, Communication, Training, support and/or advice",,Publish,[No response],[No response],Publish,[No response],[No response],[No response],Social sciences
English,Vilnius University Press,https://www.journals.vu.lt/,Northern Europe,Lithuania,English - Lithuanian - German - French,No,[No response],[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish and Service,Publish and Service,Publish and Service,[No response],Publish and Service,Publish and Service,[No response],"Multidisciplinary,Natural sciences,Engineering and technology,Medical and health sciences,Social sciences,Humanities,Non-academic"
Hungarian,Visoka škola za poslovnu ekonomiju i preduzetništvo,https://vspep.edu.rs/,Southern Europe,Serbia,Serbian - English,No,[No response],[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),[No response],,Publish,Publish,Publish,[No response],[No response],Publish,[No response],"Multidisciplinary,Social sciences,Humanities"
German,Trägerverein Swiss Medical Weekly,https://www.smw.ch,Western Europe,Switzerland,English,No,[No response],[No response],"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish,[No response],[No response],[No response],[No response],[No response],[No response],Medical and health sciences
Hungarian,Resuscitacioni savet Srbije,https://www.resusciotatio.org.rs,Southern Europe,Serbia,Serbian - English,No,[No response],[No response],"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Administrative, legal and financial, Training, support and/or advice",,Publish,Publish,[No response],[No response],[No response],[No response],[No response],Medical and health sciences
Italian,Società ligure di storia patria (ONLUS),https://www.storiapatriagenova.it/default.aspx,Southern Europe,Italy,Italian - English - French - Spanish - Portuguese,Withdrawn,[No response],[No response],"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Withdrawn,Withdrawn,,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn
Hungarian,"Društvo ""Sveti Sava""",https://www.sveti-sava.org.rs/,Southern Europe,Serbia,Serbian - English - Russian - Polish,No,[No response],[No response],"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),Withdrawn,,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn
Hungarian,Sveučilište u Splitu Sveučilišni odjel zdravstvenih studija,http://hczz.ozs.unist.hr/index.php/hczz/index,Southern Europe,Croatia,Croatian - English,Withdrawn,[No response],[No response],Withdrawn,[No response],Withdrawn,Withdrawn,,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn
Spanish,Fundación IISJ Oñati,https://opo.iisj.net/index.php/osls/index,Southern Europe,Spain,English - Spanish - Portuguese - Basque,No,[No response],[No response],"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),Editorial,,Publish and Service,Publish and Service,[No response],[No response],[No response],[No response],[No response],"Social sciences,Humanities"
English,Stichting OpenAccess,https://openaccess.ac,Western Europe,Netherlands,English - Russian,No,[No response],[No response],"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Editorial, Production, IT, Administrative, legal and financial",,Publish and Service,Publish and Service,Publish and Service,Publish and Service,[No response],[No response],[No response],Multidisciplinary
English,Croatian Society of Medical Biochemistry and Laboratory Medicine,https://www.biochemia-medica.com/en,Southern Europe,Croatia,[No response],Withdrawn,[No response],[No response],Withdrawn,professional society,Withdrawn,"Editorial, Production, IT, Communication",,Publish,[No response],[No response],[No response],[No response],[No response],[No response],Medical and health sciences
Romanian,Social Sciences and Education Research Review,https://sserr.ro/,Eastern Europe,Romania,English,Don't know,[No response],[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),Editorial,,Publish,[No response],Publish,[No response],Publish,[No response],[No response],"Social sciences,Humanities"
English,Electrical Engineering Institute Nikola Tesla,"http://scindeks.ceon.rs/journaldetails.aspx?issn=0350-8528, http://www.zbornik-eint.org/?lang=en",Southern Europe,Serbia,Serbian - English,No,[No response],[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),Production,,Publish,Publish,[No response],[No response],[No response],[No response],[No response],Engineering and technology
Hungarian,Arhitektonski fakultet Sveučilišta u Zagrebu,https://hrcak.srce.hr/ojs/index.php/prostor/index,Southern Europe,Croatia,English,Withdrawn,[No response],[No response],Withdrawn,[No response],Institutional publisher (the entity that controls publishing operations),Withdrawn,,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn
English,Astronomical Observatory of Belgrade,https://publications.aob.rs/,Southern Europe,Serbia,English - Serbian,No,[No response],[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT",,[No response],Publish,Publish,[No response],[No response],[No response],[No response],Natural sciences
Hungarian,Medicinski fakultet u Rijeci,https://medri.uniri.hr/fakultet/izdavacka-djelatnost,Southern Europe,Croatia,Croatian - English - Italian - Slovene/Slovenian - German,Don't know,[No response],[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish,Publish,Publish,Publish,Publish,Publish,Publish,"Multidisciplinary,Medical and health sciences,Social sciences,Humanities"
English,Society of Medical Biochemistry of Serbia,https://www.dmbj.org.rs,Southern Europe,Serbia,[No response],No,[No response],[No response],"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, Communication, Administrative, legal and financial",,Publish,Publish,[No response],[No response],[No response],[No response],[No response],Medical and health sciences
English,Open Scholar CIC,https://openscholar.org.uk,Northern Europe,United Kingdom,English,No,[No response],[No response],Other (please describe),Community Interest Company (UK),Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Editorial, Production, IT, Training, support and/or advice",,Service,[No response],[No response],[No response],[No response],[No response],[No response],Social sciences
English,Christian Cultural Center “Dr Radovan Bigović”,https://nicholaistudies.org/en/,Southern Europe,Serbia,Serbian - English - Czech,Withdrawn,[No response],[No response],Withdrawn,[No response],Withdrawn,"Editorial, Production",,Publish,Publish,[No response],[No response],[No response],[No response],[No response],Humanities
English,Fakultet za crnogorski jezik i književnost,http://www.fcjk.me/lingua-montenegrina-2,Southern Europe,Montenegro,Croatian - English - Ukrainian - Albanian,No,[No response],[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial",,Publish,Publish,Publish,[No response],[No response],[No response],[No response],"Multidisciplinary,Social sciences,Humanities"
English,University of Pardubice,https://knihovna.upce.cz/en/uk/open-science/oa/ojs,Eastern Europe,Czechia,Czech - English - Slovak - German,No,[No response],[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"IT, Training, support and/or advice",,Service,[No response],[No response],[No response],[No response],[No response],[No response],"Engineering and technology,Medical and health sciences,Humanities"
English,CLUEB,https://clueb.it,Southern Europe,Italy,[No response],No,[No response],[No response],Company (owned by Directors; limited liability),[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial",,Publish,Publish,[No response],[No response],[No response],Publish,[No response],"Social sciences,Humanities"
Polish,Związek Karaimów Polskich / Bitik. Karaimska Oficyna Wydawnicza,https://czasopisma.karaimi.org,Eastern Europe,Poland,Polish - English - Russian,No,[No response],[No response],"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),Withdrawn,,Publish,Publish,[No response],[No response],Publish,Publish,Publish,Humanities
Hungarian,Hrvatsko knjižničarsko društvo,https://www.hkdrustvo.hr/,Southern Europe,Croatia,Croatian - English - German - Serbian - Slovene/Slovenian,No,[No response],[No response],"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish,Publish,Publish,Publish,[No response],Publish,[No response],"Multidisciplinary,Social sciences,Humanities,Non-academic"
